,name,student_type,computer_science,math,year,orientation_day,email,Street Address,City,State,ZIP Code
0,Alicia Logan,Graduate,True,True,0,3,julia81@yahoo.com,38511 Henson Island,South Davidland,North Dakota,37129
1,Erica Jimenez,Graduate,True,False,0,4,wharrison@yahoo.com,095 Tara Land,South Ryan,Montana,88765
2,Duane Smith,Auditor,False,False,4,3,michellejones@gmail.com,90490 Ramos Springs Suite 119,Mccoyton,Ohio,72326
3,Alejandro Jones,Undergraduate,True,False,1,3,lweber@hotmail.com,035 Mckenzie Bypass Suite 185,Kingbury,Michigan,42632
4,Christopher Burke,Auditor,False,True,3,2,daniel46@gmail.com,15371 Meadows Fall Suite 525,Ruizmouth,Missouri,97472
5,Matthew Mckinney,Undergraduate,True,True,2,3,terryandrew@gmail.com,29219 Justin Groves,South Jonathanstad,Missouri,31431
6,Andrew Smith,Undergraduate,False,False,1,4,dyoung@hotmail.com,76044 Raymond Fords Suite 578,Michaelburgh,Nevada,94502
7,Rickey Jones,Auditor,False,True,1,4,renee23@yahoo.com,45118 Harvey Trafficway Suite 970,New Johnshire,Maine,81767
8,Emily Giles,Graduate,True,True,4,3,rcoleman@yahoo.com,6493 Calhoun Squares,North Emmaview,Tennessee,11780
9,David Obrien,Graduate,True,True,3,4,erika98@gmail.com,39706 Jacob Stream,Port Bradleyview,Washington,55394
10,Emily Hernandez,Undergraduate,False,False,4,1,turnershelby@hotmail.com,4697 Phillip Ranch,New Eddieburgh,North Dakota,13881
11,Katherine Kelly,Graduate,False,True,3,4,creed@gmail.com,3990 Berg Ports,Hallton,Florida,31612
12,Sarah Mathews,Graduate,False,True,1,5,carrillosamuel@hotmail.com,963 Mcfarland Falls Suite 931,East Thomas,Alabama,22647
13,Adam Anthony,Graduate,True,False,3,5,gonzalezhannah@yahoo.com,65916 Hoffman Gateway Apt. 120,Debrafort,New York,67271
14,Teresa Ellis MD,Graduate,False,False,3,5,dannymiller@hotmail.com,562 Bowen Stravenue Apt. 099,Michaelmouth,North Carolina,74505
15,Daniel Mccall,Undergraduate,True,True,2,1,jeffrey25@gmail.com,292 Vaughn Row Apt. 205,Scottmouth,Idaho,97567
16,Shari Wallace,Graduate,True,True,0,2,johnsonmichael@gmail.com,037 Jackson Forest Suite 976,Port Michael,Wisconsin,07754
17,Lance Sullivan,Graduate,False,False,2,4,cindyjones@gmail.com,6242 Williams Plains Suite 814,Smithshire,Virginia,60510
18,Jacqueline Robinson,Undergraduate,False,False,0,3,wwilliams@hotmail.com,1877 Faith Radial Apt. 473,Lindsaychester,Arizona,27857
19,Richard Cook,Undergraduate,True,False,2,1,rebecca29@gmail.com,26646 Albert Center Suite 017,Austinport,Delaware,45123
20,Pamela Gomez,Auditor,False,False,3,3,russelljesse@yahoo.com,339 Baker Wall Apt. 621,New Jessica,Wyoming,11444
21,Carrie Edwards,Auditor,False,False,4,3,riverachristopher@gmail.com,9399 James Lakes Suite 352,Port Sandrahaven,Utah,21325
22,Samuel Reed,Graduate,False,False,3,2,joyhawkins@gmail.com,975 Timothy Turnpike,Johnmouth,Iowa,70665
23,Sierra Bridges,Graduate,False,False,4,4,etorres@hotmail.com,712 Brenda Mills,Jaredborough,Wyoming,06307
24,Jacob Martinez,Graduate,True,False,3,2,rkemp@yahoo.com,95360 Carrillo Hill,Emilyburgh,Maine,38495
